56,3,1,0,0,0,0,1,6,1,0
37,7,1,3,0,1,0,1,6,1,0
40,0,1,1,0,0,0,1,6,1,0
56,7,1,3,0,0,1,1,6,1,0
59,0,1,5,0,0,0,1,6,1,0
24,9,2,5,0,1,0,1,6,1,0
25,7,2,3,0,1,0,1,6,1,0
25,7,2,3,0,1,0,1,6,1,0
29,1,2,3,0,0,1,1,6,1,0
57,3,0,0,0,1,0,1,6,1,0
35,1,1,1,0,1,0,1,6,1,0
35,1,1,1,0,1,0,1,6,1,0
50,1,1,2,0,1,1,1,6,1,0
30,10,1,3,0,0,0,1,6,1,0
55,5,2,3,0,1,0,1,6,1,0
41,9,2,3,0,1,0,1,6,1,0
37,0,1,3,0,1,0,1,6,1,0
35,9,1,6,0,0,1,1,6,1,0
54,1,0,0,0,0,0,1,6,1,0
34,7,1,3,0,0,0,1,6,1,0
52,9,1,2,0,1,0,1,6,1,0
41,0,1,6,0,1,0,1,6,1,0
56,9,1,0,0,1,0,1,6,1,0
32,2,1,3,0,1,0,1,6,1,0
38,0,2,5,0,0,0,1,6,1,0
57,0,1,6,0,0,1,1,6,1,0
57,0,1,6,0,1,1,1,6,1,0
40,1,1,2,0,0,1,1,6,1,0
35,0,1,6,0,1,0,1,6,1,0
45,1,1,2,0,1,0,1,6,1,0
54,0,1,3,0,0,0,1,6,1,0
39,3,1,0,0,0,1,1,6,1,0
60,0,1,3,0,0,0,1,6,1,0
53,0,2,5,0,0,0,1,6,1,0
25,9,2,6,0,1,0,1,6,1,0
51,1,1,2,0,1,0,1,6,1,0
48,0,1,3,0,0,0,1,6,1,0
37,0,1,6,0,0,0,1,6,1,0
44,1,2,2,0,1,0,1,6,1,0
56,0,1,2,0,1,0,1,6,1,0
41,4,1,1,0,0,0,1,6,1,0
44,4,0,6,0,1,0,1,6,1,0
55,9,1,6,0,0,0,1,6,1,0
38,9,2,6,0,0,1,1,6,1,0
31,0,0,3,0,0,0,1,6,1,0
41,4,1,1,0,0,0,1,6,1,0
39,0,1,6,0,1,1,1,6,1,0
49,9,1,2,0,0,0,1,6,1,1
34,0,1,3,0,1,0,1,6,1,0
35,0,1,6,0,1,0,1,6,1,0
33,10,1,2,0,0,0,1,6,1,0
42,1,1,1,0,0,1,1,6,1,0
45,7,1,5,0,1,0,1,6,1,0
42,4,1,6,0,0,0,1,6,1,0
37,9,2,5,0,0,0,1,6,1,0
44,1,1,1,0,0,0,1,6,1,0
49,1,1,0,0,0,0,1,6,1,0
52,0,0,6,0,0,0,1,6,1,0
52,0,0,6,0,0,0,1,6,1,0
34,3,1,1,0,1,0,1,6,1,0
35,0,1,3,0,1,0,1,6,1,0
35,7,0,3,0,1,0,1,6,1,0
37,4,1,6,0,0,0,1,6,1,0
36,1,1,3,0,0,0,1,6,1,0
52,0,0,6,0,0,0,1,6,1,0
49,1,0,3,0,0,0,1,6,1,0
41,7,1,3,0,0,0,1,6,1,0
45,9,1,3,0,1,0,1,6,1,0
32,0,1,6,0,1,1,1,6,1,0
42,0,1,6,0,0,1,1,6,1,0
50,0,1,1,0,0,0,1,6,1,0
31,9,0,5,0,1,1,1,6,1,0
56,5,1,0,0,1,0,1,6,1,0
37,1,1,1,0,1,1,1,6,1,0
37,1,1,1,0,1,0,1,6,1,0
52,4,1,6,0,0,0,1,6,1,0
39,4,0,6,0,0,0,1,6,1,0
34,7,1,3,0,1,0,1,6,1,0
43,10,2,6,0,1,0,1,6,1,0
39,4,1,6,0,1,0,1,6,1,0
53,1,1,0,0,1,0,1,6,1,0
35,0,2,3,0,1,0,1,6,1,0
51,1,1,0,0,1,0,1,6,1,0
36,1,1,2,0,1,1,1,6,1,0
43,9,2,5,0,1,0,1,6,1,0
59,7,1,3,0,0,0,1,6,1,0
24,4,2,6,0,1,0,1,6,1,0
37,2,1,1,0,0,0,1,6,1,0
38,7,1,3,0,1,1,1,6,1,0
54,4,0,6,0,1,0,1,6,1,0
45,9,1,6,0,1,1,1,6,1,0
43,7,1,3,0,0,0,1,6,1,0
46,4,1,2,0,0,0,1,6,1,0
44,7,1,3,0,1,1,1,6,1,0
51,0,2,1,0,0,0,1,6,1,0
